image,pred_text,confidence,plate_valid,plate_format,plate_type,region_valid,region_code,region_name,region_scheme,postprocess_score,normalization_steps,status,visualization
img_14.jpg,K73SAS10,0.8622,False,unknown,INVALID,True,10,Kostanay Region,new,75,"drop_non_alnum,normalize_kz_pattern",ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_14.jpg
img_2.jpg,285AFU18,0.9361,True,std_private,INVALID,True,18,Abai Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_2.jpg
img_3.jpg,654AQF17,0.8964,True,std_private,INVALID,True,17,Shymkent city,new,105,drop_suffix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_3.jpg
img_4.jpg,290BRU02,0.9572,True,std_private,INVALID,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_4.jpg
img_5.jpg,056AGA02,0.7847,True,std_private,INVALID,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_5.jpg
img_6.jpg,301ACI20,0.9084,True,std_private,INVALID,True,20,Ulytau Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_6.jpg
img_8.jpg,492BIG05,0.9702,True,std_private,INVALID,True,05,Almaty Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_8.jpg
img_10.jpg,544AEO03,0.9453,True,std_private,NEW_STANDARD,True,03,Akmola Region,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_10.jpg
img_13.jpg,888ASX08,0.9511,True,std_private,INVALID,True,08,Zhambyl Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_13.jpg
img_15.jpg,842AAL15,0.4890,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_15.jpg
img_17.jpg,222TOF02,0.9310,True,std_private,INVALID,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_17.jpg
img_18.jpg,291ABT04,0.9385,True,std_private,NEW_STANDARD,True,04,Aktobe Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_18.jpg
img_22.jpg,787AEJ15,0.9627,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_22.jpg
img_23.jpg,879AEZ15,0.9404,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_23.jpg
img_25.jpg,258AFN04,0.8676,True,std_private,INVALID,True,04,Aktobe Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_25.jpg
img_27.jpg,091AGO15,0.9681,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_27.jpg
img_28.jpg,777ZZQ01,0.9129,True,std_private,INVALID,True,01,Astana city,new,105,upper_strip,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_28.jpg
img_29.jpg,069AGN03,0.8877,True,std_private,INVALID,True,03,Akmola Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_29.jpg
img_30.jpg,269ACZ17,0.8567,True,std_private,INVALID,True,17,Shymkent city,new,105,drop_prefix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_30.jpg
img_32.jpg,913AHN01,0.9297,True,std_private,INVALID,True,01,Astana city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_32.jpg
img_38.jpg,418ANO01,0.9166,True,std_private,INVALID,True,01,Astana city,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_38.jpg
img_39.jpg,075ALV04,0.8753,True,std_private,INVALID,True,04,Aktobe Region,new,105,normalize_kz_pattern,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_39.jpg
img_41.jpg,909ADS13,0.8550,True,std_private,INVALID,True,13,Turkestan Region,new,105,drop_non_alnum,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_41.jpg
img_42.jpg,455FUA06,0.8595,True,std_private,INVALID,True,06,Atyrau Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_42.jpg
img_43.jpg,341AOM02,0.8980,True,std_private,NEW_STANDARD,True,02,Almaty city,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_43.jpg
img_45.jpg,533APM05,0.8786,True,std_private,NEW_STANDARD,True,05,Almaty Region,new,105,,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_45.jpg
img_46.jpg,212ADB15,0.8297,True,std_private,INVALID,True,15,North Kazakhstan Region,new,105,drop_suffix_kz,ok,/var/folders/wh/06pwsc5d0z330bt9t37pz73c0000gn/T/vis_img_46.jpg
